date,datatype,station,attributes,value
2018-01-01T00:00:00,PRCP,GHCND:US1CTFR0039,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0015,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0015,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0017,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0017,",,N,",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0017,"T,,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0018,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0018,",,N,",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0018,",,N,",3.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0023,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0023,",,N,",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJBG0023,",,N,",25.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0030,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0039,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJBG0039,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJBG0044,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJES0018,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJES0018,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJES0024,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJES0024,",,N,",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJES0024,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0043,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0043,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0045,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0045,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0062,"T,,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0062,"T,,N,",0.0
2018-01-01T00:00:00,SNWD,GHCND:US1NJMD0062,",,N,",0.0
2018-01-01T00:00:00,WESF,GHCND:US1NJMD0062,"T,,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0066,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0070,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMD0070,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0073,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMD0074,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMN0010,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMN0010,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMN0012,",,N,",0.0
2018-01-01T00:00:00,SNOW,GHCND:US1NJMN0012,",,N,",0.0
2018-01-01T00:00:00,PRCP,GHCND:US1NJMN0048,",,N,",0.0
