date,datatype,station,value,station_name
2018-01-01,PRCP,GHCND:US1CTFR0039,0.0,"STAMFORD 4.2 S, CT US"
2018-01-01,PRCP,GHCND:US1NJBG0015,0.0,"NORTH ARLINGTON 0.7 WNW, NJ US"
2018-01-01,SNOW,GHCND:US1NJBG0015,0.0,"NORTH ARLINGTON 0.7 WNW, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0017,0.0,"GLEN ROCK 0.7 SSE, NJ US"
2018-01-01,SNOW,GHCND:US1NJBG0017,0.0,"GLEN ROCK 0.7 SSE, NJ US"
2018-01-01,SNWD,GHCND:US1NJBG0017,0.0,"GLEN ROCK 0.7 SSE, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0018,0.0,"PALISADES PARK 0.2 WNW, NJ US"
2018-01-01,SNOW,GHCND:US1NJBG0018,0.0,"PALISADES PARK 0.2 WNW, NJ US"
2018-01-01,SNWD,GHCND:US1NJBG0018,3.0,"PALISADES PARK 0.2 WNW, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0023,0.0,"OAKLAND 0.9 SSE, NJ US"
2018-01-01,SNOW,GHCND:US1NJBG0023,0.0,"OAKLAND 0.9 SSE, NJ US"
2018-01-01,SNWD,GHCND:US1NJBG0023,25.0,"OAKLAND 0.9 SSE, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0030,0.0,"OAKLAND 1.0 ESE, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0039,0.0,"RIVER EDGE 0.4 NNE, NJ US"
2018-01-01,SNOW,GHCND:US1NJBG0039,0.0,"RIVER EDGE 0.4 NNE, NJ US"
2018-01-01,PRCP,GHCND:US1NJBG0044,0.0,"TENAFLY 1.6 NW, NJ US"
2018-01-01,PRCP,GHCND:US1NJES0018,0.0,"MAPLEWOOD TWP 0.9 SE, NJ US"
2018-01-01,SNOW,GHCND:US1NJES0018,0.0,"MAPLEWOOD TWP 0.9 SE, NJ US"
2018-01-01,PRCP,GHCND:US1NJES0024,0.0,"CEDAR GROVE TWP 0.4 W, NJ US"
2018-01-01,SNOW,GHCND:US1NJES0024,0.0,"CEDAR GROVE TWP 0.4 W, NJ US"
2018-01-01,SNWD,GHCND:US1NJES0024,0.0,"CEDAR GROVE TWP 0.4 W, NJ US"
2018-01-01,PRCP,GHCND:US1NJHD0001,0.0,"HARRISON 0.3 N, NJ US"
2018-01-01,SNOW,GHCND:US1NJHD0001,0.0,"HARRISON 0.3 N, NJ US"
2018-01-01,SNWD,GHCND:US1NJHD0001,0.0,"HARRISON 0.3 N, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0043,0.0,"WOODBRIDGE TWP 1.1 ESE, NJ US"
2018-01-01,SNOW,GHCND:US1NJMD0043,0.0,"WOODBRIDGE TWP 1.1 ESE, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0045,0.0,"WOODBRIDGE TWP 1.1 NNE, NJ US"
2018-01-01,SNOW,GHCND:US1NJMD0045,0.0,"WOODBRIDGE TWP 1.1 NNE, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0062,0.0,"OLD BRIDGE TWP 5.1 NE, NJ US"
2018-01-01,SNOW,GHCND:US1NJMD0062,0.0,"OLD BRIDGE TWP 5.1 NE, NJ US"
2018-01-01,SNWD,GHCND:US1NJMD0062,0.0,"OLD BRIDGE TWP 5.1 NE, NJ US"
2018-01-01,WESF,GHCND:US1NJMD0062,0.0,"OLD BRIDGE TWP 5.1 NE, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0066,0.0,"SOUTH PLAINFIELD 0.7 NNE, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0070,0.0,"NEW BRUNSWICK 1.8 E, NJ US"
2018-01-01,SNOW,GHCND:US1NJMD0070,0.0,"NEW BRUNSWICK 1.8 E, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0073,0.0,"CARTERET 0.6 WSW, NJ US"
2018-01-01,PRCP,GHCND:US1NJMD0074,0.0,"HIGHLAND PARK 0.5 E, NJ US"
2018-01-01,PRCP,GHCND:US1NJMN0010,0.0,"EATONTOWN 1.2 NE, NJ US"
2018-01-01,SNOW,GHCND:US1NJMN0010,0.0,"EATONTOWN 1.2 NE, NJ US"
2018-01-01,PRCP,GHCND:US1NJMN0012,0.0,"COLTS NECK TWP 2.4 NW, NJ US"
2018-01-01,SNOW,GHCND:US1NJMN0012,0.0,"COLTS NECK TWP 2.4 NW, NJ US"
2018-01-01,PRCP,GHCND:US1NJMN0048,0.0,"LONG BRANCH 0.5 W, NJ US"
2018-01-01,SNOW,GHCND:US1NJMN0048,0.0,"LONG BRANCH 0.5 W, NJ US"
2018-01-01,SNWD,GHCND:US1NJMN0048,13.0,"LONG BRANCH 0.5 W, NJ US"
2018-01-01,PRCP,GHCND:US1NJMN0069,0.0,"LONG BRANCH 1.7 SSW, NJ US"
2018-01-01,SNOW,GHCND:US1NJMN0069,0.0,"LONG BRANCH 1.7 SSW, NJ US"
2018-01-01,PRCP,GHCND:US1NJMS0011,0.0,"BOONTON 0.6 NW, NJ US"
2018-01-01,SNOW,GHCND:US1NJMS0011,0.0,"BOONTON 0.6 NW, NJ US"
2018-01-01,PRCP,GHCND:US1NJMS0040,0.0,"CHATHAM 0.6 NW, NJ US"
